epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1538.5,1.07397,1.21393,2.26034,0.82864,0.67691,0.82559,0.62771,1.2321,1.31488,2.13333,0.000742625,0.000742625,0.000742625
43,1574.87,1.06653,1.21637,2.29628,0.82737,0.66126,0.79451,0.59571,1.26456,1.36625,2.13877,0.00073025,0.00073025,0.00073025
44,1611.32,1.04399,1.18394,2.25571,0.80428,0.6657,0.77179,0.59742,1.22197,1.39859,2.09408,0.000717875,0.000717875,0.000717875
45,1647.96,1.04794,1.18343,2.2577,0.83203,0.68868,0.81543,0.62756,1.21339,1.33593,2.04098,0.0007055,0.0007055,0.0007055
46,1684.34,1.02929,1.17848,2.27635,0.84107,0.69765,0.83948,0.6323,1.23399,1.30654,2.06418,0.000693125,0.000693125,0.000693125
47,1720.74,1.03877,1.13484,2.24746,0.85324,0.68791,0.84215,0.65982,1.1875,1.23515,2.06457,0.00068075,0.00068075,0.00068075
48,1757.18,1.03672,1.14776,2.23189,0.73373,0.79852,0.84264,0.65229,1.19821,1.20084,2.09936,0.000668375,0.000668375,0.000668375
49,1793.58,1.01963,1.1505,2.25702,0.87919,0.69257,0.8351,0.65054,1.19675,1.28339,2.03917,0.000656,0.000656,0.000656
50,1829.99,1.02894,1.15124,2.24144,0.78155,0.74449,0.82548,0.63368,1.22596,1.30793,2.07081,0.000643625,0.000643625,0.000643625
51,1866.34,1.02425,1.14633,2.21518,0.80915,0.76538,0.85801,0.66118,1.19902,1.19358,2.02708,0.00063125,0.00063125,0.00063125
52,1903.04,1.01758,1.09839,2.18716,0.88224,0.66471,0.83834,0.65475,1.16841,1.25832,2.01747,0.000618875,0.000618875,0.000618875
53,1939.61,1.03144,1.12295,2.19928,0.7819,0.79873,0.84566,0.66487,1.20603,1.27137,1.99514,0.0006065,0.0006065,0.0006065
54,1976.04,1.00932,1.11001,2.21754,0.7893,0.79848,0.8448,0.65898,1.15445,1.23143,2.02336,0.000594125,0.000594125,0.000594125
55,2012.47,1.00969,1.11697,2.17296,0.81019,0.81134,0.86016,0.66933,1.16736,1.21463,2.01008,0.00058175,0.00058175,0.00058175
56,2048.84,0.98315,1.10655,2.18509,0.81397,0.68683,0.81994,0.63421,1.16833,1.26963,2.04115,0.000569375,0.000569375,0.000569375
57,2085.26,0.99222,1.09579,2.17327,0.83944,0.73928,0.86392,0.66311,1.169,1.12519,1.96701,0.000557,0.000557,0.000557
58,2122.06,0.99588,1.08352,2.14913,0.8688,0.69495,0.84208,0.67069,1.15317,1.20553,1.99904,0.000544625,0.000544625,0.000544625
59,2158.42,0.97251,1.07903,2.19334,0.75295,0.78571,0.84913,0.66907,1.16226,1.23299,2.04645,0.00053225,0.00053225,0.00053225
60,2194.75,0.96871,1.03488,2.19243,0.79954,0.82766,0.87268,0.68154,1.15943,1.15438,1.98627,0.000519875,0.000519875,0.000519875
61,2231.19,0.97834,1.0503,2.15863,0.8648,0.69853,0.84941,0.67095,1.14786,1.22069,2.01367,0.0005075,0.0005075,0.0005075
62,2267.59,0.96897,1.04429,2.15698,0.8834,0.71926,0.86602,0.68224,1.17725,1.21608,1.99162,0.000495125,0.000495125,0.000495125
63,2303.92,0.96671,1.03392,2.16112,0.82805,0.74171,0.85661,0.6828,1.15153,1.1606,2.02832,0.00048275,0.00048275,0.00048275
64,2340.31,0.96036,1.03663,2.1725,0.8952,0.70112,0.85288,0.67676,1.15048,1.20219,1.98184,0.000470375,0.000470375,0.000470375
65,2376.81,0.95746,1.01825,2.12102,0.74476,0.81319,0.85253,0.67472,1.14565,1.21054,2.02273,0.000458,0.000458,0.000458
66,2413.56,0.9372,1.01513,2.16541,0.85914,0.70854,0.85928,0.68492,1.13225,1.22491,2.00855,0.000445625,0.000445625,0.000445625
67,2450.1,0.93961,1.00621,2.12422,0.89398,0.70436,0.8484,0.67136,1.13113,1.23908,2.02378,0.00043325,0.00043325,0.00043325
68,2486.56,0.93515,1.02488,2.16523,0.87789,0.71555,0.84967,0.67787,1.12353,1.19444,2.00418,0.000420875,0.000420875,0.000420875
69,2522.99,0.94893,1.00858,2.10724,0.88103,0.71104,0.85403,0.67977,1.119,1.18248,1.9563,0.0004085,0.0004085,0.0004085
70,2559.43,0.94081,1.00537,2.11458,0.77522,0.77795,0.85196,0.67863,1.1638,1.25913,2.01831,0.000396125,0.000396125,0.000396125
71,2595.92,0.93411,1.00556,2.13156,0.875,0.70793,0.8487,0.6746,1.14834,1.25984,2.00562,0.00038375,0.00038375,0.00038375
72,2632.77,0.92304,0.97671,2.12477,0.8561,0.7376,0.86327,0.69274,1.11167,1.19324,1.98542,0.000371375,0.000371375,0.000371375
73,2669.23,0.91777,0.96974,2.13898,0.77241,0.81292,0.86505,0.69311,1.10227,1.20269,1.94047,0.000359,0.000359,0.000359
74,2705.7,0.90204,0.96091,2.08005,0.83187,0.73988,0.86566,0.6851,1.11505,1.17379,1.97538,0.000346625,0.000346625,0.000346625
75,2742.16,0.90501,0.95453,2.10058,0.87924,0.73708,0.87069,0.69452,1.10497,1.21027,1.95944,0.00033425,0.00033425,0.00033425
76,2778.73,0.91531,0.92432,2.10066,0.79955,0.76754,0.84959,0.67625,1.10939,1.22726,1.96722,0.000321875,0.000321875,0.000321875
77,2815.15,0.91086,0.96879,2.09443,0.75948,0.80319,0.87758,0.70327,1.10377,1.1045,1.93646,0.0003095,0.0003095,0.0003095
78,2851.94,0.8887,0.94905,2.09102,0.79135,0.81554,0.87997,0.70423,1.0909,1.14776,1.94425,0.000297125,0.000297125,0.000297125
79,2888.36,0.89248,0.94858,2.0809,0.81057,0.82191,0.87507,0.71077,1.08428,1.14586,1.94567,0.00028475,0.00028475,0.00028475
80,2924.79,0.87533,0.93158,2.06623,0.80841,0.82947,0.87362,0.70235,1.08679,1.12352,1.94177,0.000272375,0.000272375,0.000272375
81,2961.23,0.88262,0.92409,2.0885,0.81061,0.81501,0.87475,0.70075,1.10418,1.16584,1.91642,0.00026,0.00026,0.00026
82,2997.63,0.8761,0.91569,2.07409,0.90481,0.72916,0.86939,0.69683,1.09959,1.11728,1.94884,0.000247625,0.000247625,0.000247625
83,3034.05,0.89609,0.92431,2.069,0.88481,0.72255,0.8579,0.68613,1.10377,1.16882,1.94178,0.00023525,0.00023525,0.00023525
84,3070.47,0.87131,0.89727,2.06643,0.90812,0.70988,0.85829,0.69092,1.08854,1.18561,1.93538,0.000222875,0.000222875,0.000222875
85,3107.21,0.88124,0.90524,2.10881,0.82343,0.78356,0.8538,0.68418,1.08907,1.19086,1.93154,0.0002105,0.0002105,0.0002105
86,3143.6,0.86548,0.89798,2.04681,0.81794,0.80627,0.87184,0.70768,1.074,1.16996,1.92583,0.000198125,0.000198125,0.000198125
87,3179.91,0.86573,0.90372,2.07166,0.80805,0.82821,0.87268,0.70771,1.07611,1.17494,1.93699,0.00018575,0.00018575,0.00018575
88,3216.33,0.86233,0.89483,2.11658,0.80523,0.82017,0.86975,0.70524,1.07539,1.1991,1.9106,0.000173375,0.000173375,0.000173375
89,3252.7,0.85233,0.87919,2.04028,0.89944,0.72687,0.87069,0.70729,1.06702,1.13601,1.92157,0.000161,0.000161,0.000161
90,3289.06,0.83687,0.87937,2.02956,0.88417,0.73118,0.86884,0.70399,1.05872,1.14071,1.91536,0.000148625,0.000148625,0.000148625
91,3329.09,0.91877,0.86503,1.75502,0.9021,0.86231,0.8946,0.72627,1.0434,0.87228,1.85219,0.00013625,0.00013625,0.00013625
92,3365.83,0.87094,0.74648,1.68654,0.8935,0.85991,0.89421,0.72844,1.04022,0.88917,1.84889,0.000123875,0.000123875,0.000123875
93,3402.45,0.84273,0.72992,1.67448,0.91176,0.86221,0.89912,0.73362,1.02562,0.87712,1.83529,0.0001115,0.0001115,0.0001115
94,3439.19,0.83287,0.72012,1.66442,0.92727,0.84865,0.89818,0.73385,1.0241,0.88015,1.83384,9.9125e-05,9.9125e-05,9.9125e-05
95,3475.86,0.82256,0.71426,1.64336,0.89889,0.87265,0.89902,0.73453,1.0116,0.88056,1.8164,8.675e-05,8.675e-05,8.675e-05
96,3512.59,0.81017,0.70178,1.62258,0.91826,0.85799,0.89806,0.73658,1.0179,0.89069,1.81235,7.4375e-05,7.4375e-05,7.4375e-05
97,3549.22,0.81053,0.68526,1.64023,0.91527,0.8623,0.89855,0.73623,1.01398,0.89114,1.80871,6.2e-05,6.2e-05,6.2e-05
98,3586.29,0.80204,0.68548,1.63356,0.91068,0.86479,0.89611,0.73758,1.01356,0.89041,1.81041,4.9625e-05,4.9625e-05,4.9625e-05
99,3623.04,0.8029,0.69134,1.61272,0.90762,0.86502,0.89594,0.73699,1.01225,0.89586,1.80641,3.725e-05,3.725e-05,3.725e-05
100,3659.75,0.79969,0.68138,1.61742,0.90542,0.8624,0.8975,0.73803,1.01104,0.89554,1.80551,2.4875e-05,2.4875e-05,2.4875e-05
